brand,processor_brand,ram_gb,ssd,hdd,os_bit,Touchscreen,Price
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,42990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,38990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,45990
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,42490
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,43970
ASUS,Intel,4 GB,512 GB,0 GB,64-bit,No,39990
MSI,Intel,8 GB,512 GB,0 GB,64-bit,No,48990
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,54990
MSI,Intel,8 GB,512 GB,0 GB,64-bit,No,40990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,41990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,Yes,54990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,44990
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,41250
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,44990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,42990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,Yes,60790
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,45650
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,41990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,45490
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,44990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,42990
HP,Intel,4 GB,512 GB,0 GB,64-bit,No,45490
HP,Intel,4 GB,512 GB,0 GB,32-bit,No,38799
HP,Intel,4 GB,512 GB,0 GB,64-bit,Yes,69267
ASUS,Intel,4 GB,512 GB,0 GB,64-bit,No,51649
HP,Intel,4 GB,512 GB,0 GB,64-bit,No,47990
ASUS,Intel,4 GB,512 GB,0 GB,64-bit,No,40990
ASUS,Intel,4 GB,512 GB,0 GB,64-bit,No,42990
ASUS,Intel,4 GB,512 GB,0 GB,64-bit,No,44890
ASUS,Intel,4 GB,512 GB,0 GB,64-bit,No,41490
HP,Intel,4 GB,512 GB,0 GB,32-bit,No,50990
HP,Intel,4 GB,512 GB,0 GB,64-bit,No,48900
ASUS,Intel,4 GB,512 GB,0 GB,64-bit,No,40990
DELL,Intel,4 GB,512 GB,0 GB,64-bit,No,41790
Lenovo,Intel,4 GB,512 GB,0 GB,64-bit,Yes,57999
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,45930
HP,Intel,8 GB,512 GB,0 GB,64-bit,Yes,55490
ASUS,Intel,8 GB,0 GB,1024 GB,64-bit,No,32890
Lenovo,Intel,8 GB,0 GB,1024 GB,64-bit,No,35990
DELL,Intel,8 GB,0 GB,1024 GB,64-bit,No,42490
